tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
999,33,1,1,1,1,1,0,0,0
1000,31,1,1,1,1,1,0,0,0
1001,30,1,1,1,1,1,0,0,0
1002,5,1,1,1,1,1,0,0,0
1003,16,1,1,1,1,1,0,0,0
1004,27,1,1,1,1,1,0,0,0
1005,5,1,1,1,1,1,0,0,0
1006,33,1,1,1,1,1,0,0,0
1007,29,1,1,1,1,1,0,0,0
1008,10,1,1,1,1,1,0,0,0
1009,2,1,1,1,1,1,0,0,0
1010,1,1,1,1,1,1,0,0,0
1011,4,1,1,1,1,1,0,0,0
1012,25,1,1,1,1,1,0,0,0
1013,1,1,1,1,1,1,0,0,0
1014,9,1,1,1,1,1,0,0,0
1015,5,1,1,1,1,1,0,0,0
1016,27,1,1,1,1,1,0,0,0
1017,14,1,1,1,1,1,0,0,0
1018,21,1,1,1,1,1,0,0,0
1019,32,1,1,1,1,1,0,0,0
1020,17,1,1,1,1,1,0,0,0
1021,13,1,1,1,1,1,0,0,0
1022,17,1,1,1,1,1,0,0,0
1023,19,1,1,1,1,1,0,0,0
1024,6,1,1,1,1,1,0,0,0
1025,12,1,1,1,1,1,0,0,0
1026,34,1,1,1,1,1,0,0,0
1027,3,1,1,1,1,1,0,0,0
1028,8,1,1,1,1,1,0,0,0
1029,27,1,1,1,1,1,0,0,0
1030,30,1,1,1,1,1,0,0,0
1031,14,1,1,1,1,1,0,0,0
1032,23,1,1,1,1,1,0,0,0
1033,15,1,1,1,1,1,0,0,0
1034,2,1,1,1,1,1,0,0,0
1035,35,1,1,1,1,1,0,0,0
1036,7,1,1,1,1,1,0,0,0
1037,23,1,1,1,1,1,0,0,0
1038,4,1,1,1,1,1,0,0,0
1039,18,1,1,1,1,1,0,0,0
1040,37,1,1,1,1,1,0,0,0
1041,12,1,1,1,1,1,0,0,0
1042,6,1,1,1,1,1,0,0,0
1043,23,1,1,1,1,1,0,0,0
1044,3,1,1,1,1,1,0,0,0
1045,17,1,1,1,1,1,0,0,0
1046,4,1,1,1,1,1,0,0,0
1047,1,1,1,1,1,1,0,0,0
1048,35,1,1,1,1,1,0,0,0
1049,16,1,1,1,1,1,0,0,0
1050,7,1,1,1,1,1,0,0,0
1051,20,1,1,1,1,1,0,0,0
1052,3,1,1,1,1,1,0,0,0
1053,33,1,1,1,1,1,0,0,0
1054,16,1,1,1,1,1,0,0,0
1055,27,1,1,1,1,1,0,0,0
1056,1,1,1,1,1,1,0,0,0
1057,36,1,1,1,1,1,0,0,0
1058,6,1,1,1,1,1,0,0,0
1059,19,1,1,1,1,1,0,0,0
1060,35,1,1,1,1,1,0,0,0
1061,21,1,1,1,1,1,0,0,0
1062,11,1,1,1,1,1,0,0,0
1063,36,1,1,1,1,1,0,0,0
1064,18,1,1,1,1,1,0,0,0
1065,25,1,1,1,1,1,0,0,0
1066,25,1,1,1,1,1,0,0,0
1067,24,1,1,1,1,1,0,0,0
1068,17,1,1,1,1,1,0,0,0
1069,1,1,1,1,1,1,0,0,0
1070,3,1,1,1,1,1,0,0,0
1071,17,1,1,1,1,1,0,0,0
1072,23,1,1,1,1,1,0,0,0
1073,22,1,1,1,1,1,0,0,0
1074,24,1,1,1,1,1,0,0,0
1075,21,1,1,1,1,1,0,0,0
1076,5,1,1,1,1,1,0,0,0
1077,1,1,1,1,1,1,0,0,0
1078,15,1,1,1,1,1,0,0,0
1079,21,1,1,1,1,1,0,0,0
1080,33,1,1,1,1,1,0,0,0
1081,24,1,1,1,1,1,0,0,0
1082,7,1,1,1,1,1,0,0,0
1083,27,1,1,1,1,1,0,0,0
1084,13,1,1,1,1,1,0,0,0
1085,6,1,1,1,1,1,0,0,0
1086,32,1,1,1,1,1,0,0,0
1087,21,1,1,1,1,1,0,0,0
1088,16,1,1,1,1,1,0,0,0
1089,18,1,1,1,1,1,0,0,0
1090,25,1,1,1,1,1,0,0,0
1091,24,1,1,1,1,1,0,0,0
1092,19,1,1,1,1,1,0,0,0
1093,33,1,1,1,1,1,0,0,0
1094,37,1,1,1,1,1,0,0,0
1095,1,1,1,1,1,1,0,0,0
1096,1,1,1,1,1,1,0,0,0
1097,21,1,1,1,1,1,0,0,0
1098,34,1,1,1,1,1,0,0,0
1099,27,1,1,1,1,1,0,0,0
1100,22,1,1,1,1,1,0,0,0
1101,37,1,1,1,1,1,0,0,0
1102,31,1,1,1,1,1,0,0,0
1103,28,1,1,1,1,1,0,0,0
1104,7,1,1,1,1,1,0,0,0
1105,22,1,1,1,1,1,0,0,0
1106,22,1,1,1,1,1,0,0,0
1107,32,1,1,1,1,1,0,0,0
1108,27,1,1,1,1,1,0,0,0
1109,29,1,1,1,1,1,0,0,0
1110,23,1,1,1,1,1,0,0,0
1111,20,1,1,1,1,1,0,0,0
1112,32,1,1,1,1,1,0,0,0
1113,33,1,1,1,1,1,0,0,0
1114,10,1,1,1,1,1,0,0,0
1115,13,1,1,1,1,1,0,0,0
1116,34,1,1,1,1,1,0,0,0
1117,1,1,1,1,1,1,0,0,0
1118,37,1,1,1,1,1,0,0,0
1119,1,1,1,1,1,1,0,0,0
1120,36,1,1,1,1,1,0,0,0
1121,5,1,1,1,1,0,1,0,0
1122,31,1,1,1,1,0,1,0,0
1123,8,1,1,1,1,0,1,0,0
1124,6,1,1,1,1,0,1,0,0
1125,25,1,1,1,1,0,1,0,0
1126,27,1,1,1,1,0,1,0,0
1127,25,1,1,1,1,0,1,0,0
1128,35,1,1,1,1,0,1,0,0
1129,7,1,1,1,1,0,1,0,0
1130,36,1,1,1,1,0,1,0,0
1131,31,1,1,1,1,0,1,0,0
1132,16,1,1,1,1,0,1,0,0
1133,4,1,1,1,1,0,1,0,0
1134,4,1,1,1,1,0,1,0,0
1135,3,1,1,1,1,0,1,0,0
1136,36,1,1,1,1,0,1,0,0
1137,10,1,1,1,1,0,1,0,0
1138,11,1,1,1,1,0,1,0,0
1139,34,1,1,1,1,0,1,0,0
1140,5,1,1,1,1,0,1,0,0
1141,4,1,1,1,1,0,1,0,0
1142,4,1,1,1,1,0,1,0,0
1143,5,1,1,1,1,0,1,0,0
1144,18,1,1,1,1,0,1,0,0
1145,4,1,1,1,1,0,1,0,0
1146,33,1,1,1,1,0,1,0,0
1147,29,1,1,1,1,0,1,0,0
1148,21,1,1,1,1,0,1,0,0
1149,1,1,1,1,1,0,1,0,0
1150,33,1,1,1,1,0,1,0,0
1151,9,1,1,1,1,0,1,0,0
1152,35,1,1,1,1,0,1,0,0
1153,9,1,1,1,1,0,1,0,0
1154,6,1,1,1,1,0,1,0,0
1155,11,1,1,1,1,0,1,0,0
1156,31,1,1,1,1,0,1,0,0
1157,6,1,1,1,1,0,1,0,0
1158,36,1,1,1,1,0,1,0,0
1159,24,1,1,1,1,0,1,0,0
1160,32,1,1,1,1,0,1,0,0
1161,20,1,1,1,1,0,1,0,0
1162,32,1,1,1,1,0,1,0,0
1163,34,1,1,1,1,0,1,0,0
1164,28,1,1,1,1,0,1,0,0
1165,16,1,1,1,1,0,1,0,0
1166,24,1,1,1,1,0,1,0,0
1167,28,1,1,1,1,0,1,0,0
1168,10,1,1,1,1,0,1,0,0
1169,11,1,1,1,1,0,1,0,0
1170,9,1,1,1,1,0,1,0,0
1171,23,1,1,1,1,0,1,0,0
1172,20,1,1,1,1,0,1,0,0
1173,21,1,1,1,1,0,1,0,0
1174,23,1,1,1,1,0,1,0,0
1175,1,1,1,1,1,0,1,0,0
1176,8,1,1,1,1,0,1,0,0
1177,10,1,1,1,1,0,1,0,0
1178,35,1,1,1,1,0,1,0,0
1179,19,1,1,1,1,0,1,0,0
1180,19,1,1,1,1,0,1,0,0
1181,17,1,1,1,1,0,1,0,0
1182,11,1,1,1,1,0,1,0,0
1183,26,1,1,1,1,0,1,0,0
1184,36,1,1,1,1,0,1,0,0
1185,19,1,1,1,1,0,1,0,0
1186,2,1,1,1,1,0,1,0,0
